广东频道,#genre#
player=2
CCTV3,http://45.192.97.170:8880/play/2182.m3u8
CCTV3,http://45.192.97.170:8880/play/2361.m3u8
CCTV3,http://45.192.97.170:8880/play/2362.m3u8
CCTV3,http://45.192.97.170:8880/play/2561.m3u8
CCTV3,http://45.192.97.170:8880/play/2725.m3u8
CCTV3,http://45.192.97.170:8880/play/2767.m3u8
CCTV3,http://45.192.97.170:8880/play/3004.m3u8
CCTV3,http://45.192.97.170:8880/play/3276.m3u8
CCTV3,http://45.192.97.170:8880/play/3339.m3u8
CCTV3,http://45.192.97.170:8880/play/3413.m3u8
CCTV3,http://45.192.97.170:8880/play/3565.m3u8
CCTV3,http://45.192.97.170:8880/play/3696.m3u8
CCTV3,http://45.192.97.170:8880/play/3697.m3u8
CCTV3,http://45.192.97.170:8880/play/3906.m3u8
CCTV3,http://45.192.97.170:8880/play/4025.m3u8
CCTV3,http://45.192.97.170:8880/play/4149.m3u8
CCTV3,http://45.192.97.170:8880/play/4150.m3u8
CCTV3,http://45.192.97.170:8880/play/4277.m3u8
CCTV3,http://45.192.97.170:8880/play/4278.m3u8
CCTV4,http://47.120.5.28:1234/631780421
CCTV4,http://223.83.177.142:1234/631780421
CCTV4,http://47.120.5.28:1234/608807419
CCTV4,http://223.83.177.142:1234/608807419
CCTV4,http://47.120.5.28:1234/608807416
CCTV4,http://223.83.177.142:1234/608807416
CCTV4,http://45.192.97.170:8880/play/4.m3u8
CCTV4,http://45.192.97.170:8880/play/18.m3u8
CCTV4,http://45.192.97.170:8880/play/19.m3u8
CCTV4,http://45.192.97.170:8880/play/305.m3u8
CCTV4,http://45.192.97.170:8880/play/366.m3u8
CCTV4,http://45.192.97.170:8880/play/430.m3u8
CCTV4,http://45.192.97.170:8880/play/494.m3u8
CCTV4,http://45.192.97.170:8880/play/584.m3u8
CCTV4,http://45.192.97.170:8880/play/673.m3u8
CCTV4,http://45.192.97.170:8880/play/706.m3u8
CCTV4,http://45.192.97.170:8880/play/747.m3u8
CCTV4,http://45.192.97.170:8880/play/797.m3u8
CCTV4,http://45.192.97.170:8880/play/839.m3u8
CCTV4,http://45.192.97.170:8880/play/881.m3u8
CCTV4,http://45.192.97.170:8880/play/928.m3u8
CCTV4,http://45.192.97.170:8880/play/981.m3u8
CCTV4,http://45.192.97.170:8880/play/982.m3u8
CCTV4,http://45.192.97.170:8880/play/1054.m3u8
CCTV4,http://45.192.97.170:8880/play/2167.m3u8
CCTV4,http://45.192.97.170:8880/play/2183.m3u8
CCTV4,http://45.192.97.170:8880/play/2363.m3u8
CCTV4,http://45.192.97.170:8880/play/2364.m3u8
CCTV4,http://45.192.97.170:8880/play/2562.m3u8
CCTV4,http://45.192.97.170:8880/play/2668.m3u8
CCTV4,http://45.192.97.170:8880/play/2726.m3u8
CCTV4,http://45.192.97.170:8880/play/2768.m3u8
CCTV4,http://45.192.97.170:8880/play/3005.m3u8
CCTV4,http://45.192.97.170:8880/play/3277.m3u8
CCTV4,http://45.192.97.170:8880/play/3340.m3u8
CCTV4,http://45.192.97.170:8880/play/3414.m3u8
CCTV4,http://45.192.97.170:8880/play/3501.m3u8
CCTV4,http://45.192.97.170:8880/play/3502.m3u8
CCTV4,http://45.192.97.170:8880/play/3566.m3u8
CCTV4,http://45.192.97.170:8880/play/3660.m3u8
CCTV4,http://45.192.97.170:8880/play/3661.m3u8
CCTV4,http://45.192.97.170:8880/play/3698.m3u8
CCTV4,http://45.192.97.170:8880/play/3699.m3u8
CCTV4,http://45.192.97.170:8880/play/3700.m3u8
CCTV4,http://45.192.97.170:8880/play/3907.m3u8
CCTV4,http://45.192.97.170:8880/play/3908.m3u8
CCTV4,http://45.192.97.170:8880/play/3909.m3u8
CCTV4,http://45.192.97.170:8880/play/4026.m3u8
CCTV4,http://45.192.97.170:8880/play/4027.m3u8
CCTV4,http://45.192.97.170:8880/play/4028.m3u8
CCTV4,http://45.192.97.170:8880/play/4151.m3u8
CCTV4,http://45.192.97.170:8880/play/4152.m3u8
CCTV4,http://45.192.97.170:8880/play/4153.m3u8
CCTV4,http://45.192.97.170:8880/play/4279.m3u8
CCTV4,http://45.192.97.170:8880/play/4280.m3u8
CCTV4,http://45.192.97.170:8880/play/4281.m3u8
CCTV5,http://47.120.5.28:1234/641886683
CCTV5,http://223.83.177.142:1234/641886683
